id,previous_id,datetime,wh,ml,g_co2,usd_in,usd_cache,usd_out,tokens,input_tokens,input_tokens_tokenizer,output_tokens,output_tokens_tokenizer,cached_tokens,total_tokens,total_wh,total_ml,total_co2,total_usd
resp_0bd40d6b62409b6c0068f2d81f712881a3a4c29f5d70d37fd8,,2025-10-17 23:58:23,0.396,0.7128,0.13068,7.5e-06,8.125e-06,0.00016,87,71,6,16,15,65,87,0.396,0.7128,0.13068,0.000175625
resp_08465415f890686e0068f2d7c431a081a3954f15b3c3132492,,2025-10-17 23:56:52,0.252,0.4536,0.08316,2.5e-06,8.125e-06,0.00012,79,67,2,12,11,65,79,0.252,0.4536,0.08316,0.000130625
resp_09e5802e0f5018620068f2050315c4819d89d8acf4829cb5e9,,2025-10-17 08:57:39,0.234,0.4212,0.07722,1.25e-06,8.125e-06,0.00012,78,66,1,12,11,65,78,0.234,0.4212,0.07722,0.000129375
resp_00e8bbf878a7da090068f2047e76ec81a1977072a3497f6bcf,resp_00e8bbf878a7da090068f20474701881a1a841fe9fa60b66ff,2025-10-17 08:55:26,0.306,0.5508,0.10098,1.25e-06,1.0625e-05,0.00016,102,86,1,16,15,85,180,0.54,0.972,0.1782,0.00030125
resp_00e8bbf878a7da090068f20474701881a1a841fe9fa60b66ff,,2025-10-17 08:55:16,0.234,0.4212,0.07722,1.25e-06,8.125e-06,0.00012,78,66,1,12,11,65,78,0.234,0.4212,0.07722,0.000129375
resp_06a2eae856a09a630068f1a482bca881a3a6c1114610fd87af,,2025-10-17 02:05:54,0.234,0.4212,0.07722,1.25e-06,8.125e-06,0.00012,78,66,1,12,11,65,78,0.234,0.4212,0.07722,0.000129375
resp_07c844feae095bca0068f19013ea4c819396b653c967317418,resp_07c844feae095bca0068f18fe329a8819383c0903a4ae378cb,2025-10-17 00:38:44,71.082,127.9476,23.45706,0.00449125,0.000796375,0.00356,10320,9964,3593,356,355,6371,23106,184.212,331.5816,60.78996,0.02086775
resp_07c844feae095bca0068f18fe329a8819383c0903a4ae378cb,resp_07c844feae095bca0068f18fc89bf081938a82a5ef7fcfb7d3,2025-10-17 00:37:55,0.234,0.4212,0.07722,1.25e-06,0.000793875,0.00012,6364,6352,1,12,11,6351,12786,113.13,203.634,37.3329,0.012020125
resp_07c844feae095bca0068f18fc89bf081938a82a5ef7fcfb7d3,resp_07c844feae095bca0068f18fbdf07081939c97f565357b1922,2025-10-17 00:37:28,112.662,202.7916,37.17846,0.007375,1.0625e-05,0.00359,6344,5985,5900,359,358,85,6422,112.896,203.2128,37.25568,0.011105
resp_07c844feae095bca0068f18fbdf07081939c97f565357b1922,,2025-10-17 00:37:18,0.234,0.4212,0.07722,1.25e-06,8.125e-06,0.00012,78,66,1,12,11,65,78,0.234,0.4212,0.07722,0.000129375
